run_id,family,artifact_path,action,status,details
random-train_20260522_112745,dual_experiments,data/dual_experiments/current_setup/random-train_20260522_112745,perf_counter_s_inferred_from_timestamp,partial,missing=pulse_events.csv;coincidence_table.csv
random-train_20260522_113049,dual_experiments,data/dual_experiments/current_setup_fixed/random-train_20260522_113049,perf_counter_s_inferred_from_timestamp,partial,missing=pulse_events.csv;coincidence_table.csv
train_20260522_112902,dual_experiments,data/dual_experiments/current_setup/train_20260522_112902,perf_counter_s_inferred_from_timestamp,partial,missing=pulse_events.csv;coincidence_table.csv
train_20260522_113033,dual_experiments,data/dual_experiments/current_setup_fixed/train_20260522_113033,perf_counter_s_inferred_from_timestamp,partial,missing=pulse_events.csv;coincidence_table.csv
latency_results_20260430_122215,latency_runs,data/latency_runs/latency_results_20260430_122215.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122215.csv;data/latency_runs/latency_log_20260430_122215.txt
latency_results_20260430_122246,latency_runs,data/latency_runs/latency_results_20260430_122246.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122246.csv;data/latency_runs/latency_log_20260430_122246.txt
latency_results_20260430_122545,latency_runs,data/latency_runs/latency_results_20260430_122545.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122545.csv;data/latency_runs/latency_log_20260430_122545.txt
latency_results_20260430_122707,latency_runs,data/latency_runs/latency_results_20260430_122707.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122707.csv;data/latency_runs/latency_log_20260430_122707.txt
latency_results_20260430_122843,latency_runs,data/latency_runs/latency_results_20260430_122843.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122843.csv;data/latency_runs/latency_log_20260430_122843.txt
latency_results_20260430_122907,latency_runs,data/latency_runs/latency_results_20260430_122907.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122907.csv;data/latency_runs/latency_log_20260430_122907.txt
latency_results_20260430_122919,latency_runs,data/latency_runs/latency_results_20260430_122919.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122919.csv;data/latency_runs/latency_log_20260430_122919.txt
latency_results_20260430_122932,latency_runs,data/latency_runs/latency_results_20260430_122932.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_122932.csv;data/latency_runs/latency_log_20260430_122932.txt
latency_results_20260430_162158,latency_runs,data/latency_runs/latency_results_20260430_162158.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_162158.csv;data/latency_runs/latency_log_20260430_162158.txt
latency_results_20260430_170139,latency_runs,data/latency_runs/latency_results_20260430_170139.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_170139.csv;data/latency_runs/latency_log_20260430_170139.txt
latency_results_20260430_170425,latency_runs,data/latency_runs/latency_results_20260430_170425.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_170425.csv;data/latency_runs/latency_log_20260430_170425.txt
latency_results_20260430_170905,latency_runs,data/latency_runs/latency_results_20260430_170905.csv,marked invalid empty without fabrication,invalid_empty,linked=data/latency_runs/latency_summary_20260430_170905.csv;data/latency_runs/latency_log_20260430_170905.txt
op598_characterization_20260522_1524,op598,data/op598/op598_characterization_20260522_1524.md,marked unrecoverable loose artifact,legacy_unstructured,"standalone documentation, not a run table"
op598_sample_20260522_152308,op598,data/op598/op598_sample_20260522_152308.log,marked unrecoverable loose artifact,legacy_unstructured,loose log without raw csv
op598_status_20260522_152328,op598,data/op598/op598_status_20260522_152328.log,marked unrecoverable loose artifact,legacy_unstructured,loose log without raw csv
op598_status_20260522_154900,op598,data/op598/op598_status_20260522_154900.log,marked unrecoverable loose artifact,legacy_unstructured,loose log without raw csv
op598_status_20260522_170242,op598,data/op598/op598_status_20260522_170242.log,marked unrecoverable loose artifact,legacy_unstructured,loose log without raw csv
flash_experiment_results_20260521,webcam,data/webcam/flash_experiment_results_20260521.md,marked unrecoverable loose artifact,legacy_unstructured,"standalone documentation, not a run table"
flash_experiment_results_20260521_additional,webcam,data/webcam/flash_experiment_results_20260521_additional.md,marked unrecoverable loose artifact,legacy_unstructured,"standalone documentation, not a run table"
flash_parameter_low_duty_20260521,webcam,data/webcam/flash_parameter_low_duty_20260521.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
flash_parameter_sweep_20260521_114453,webcam,data/webcam/flash_parameter_sweep_20260521_114453.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
led_intensity_low_sweep_20260521,webcam,data/webcam/led_intensity_low_sweep_20260521.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
led_intensity_sweep_20260521_114216,webcam,data/webcam/led_intensity_sweep_20260521_114216.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
led_intensity_sweep_20260521_115322,webcam,data/webcam/led_intensity_sweep_20260521_115322.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
threshold_delta_20_duty6_20260521,webcam,data/webcam/threshold_delta_20_duty6_20260521.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
threshold_delta_40_duty6_20260521,webcam,data/webcam/threshold_delta_40_duty6_20260521.csv,grouped legacy sweep with companion metric CSVs,valid,all companion csv paths exist
